Ticker,QoQ Net Profit Growth (%),QoQ Compared Quarters,YoY Net Profit Growth (%),YoY Compared Years,QoQ Revenue Growth (%),YoY Revenue Growth (%),Recovered from Harsh Condition,Error
PILANIINVS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.04,No,No harsh condition recovery
CSBBANK,25.0,"Dec 2024, Mar 2025",4.76,"Mar 2024, Mar 2025",6.75,22.85,No,No harsh condition recovery
EQUITASBNK,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",1.99,15.06,No,No harsh condition recovery
AWL,Need 2 quarters,N/A,Need 2 years,N/A,8.26,24.21,No,No harsh condition recovery
JINDALPOLY,Need 2 quarters,N/A,Need 2 years,N/A,4.59,27.15,No,No harsh condition recovery
FSL,Need 2 quarters,N/A,Need 2 years,N/A,2.81,25.95,No,No harsh condition recovery
IREDA,18.12,"Dec 2024, Mar 2025",35.62,"Mar 2024, Mar 2025",12.19,35.84,No,No harsh condition recovery
ALEMBICLTD,Need 2 quarters,N/A,Need 2 years,N/A,3.45,41.4,No,No harsh condition recovery
DIACABS,Need 2 quarters,N/A,Need 2 years,N/A,22.82,167.06,No,No harsh condition recovery
ASHAPURMIN,Need 2 quarters,N/A,Need 2 years,N/A,43.21,Not ascending,No,No harsh condition recovery
CHOLAFIN,15.81,"Dec 2024, Mar 2025",24.65,"Mar 2024, Mar 2025",4.65,34.87,No,No harsh condition recovery
IFCI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
VEEDOL,Need 2 quarters,N/A,Need 2 years,N/A,1.26,Not ascending,No,No harsh condition recovery
GODREJPROP,Need 2 quarters,N/A,Need 2 years,N/A,118.99,62.15,No,No harsh condition recovery
BAJAJHFL,7.12,"Dec 2024, Mar 2025",24.96,"Mar 2024, Mar 2025",2.41,25.72,No,No harsh condition recovery
RAILTEL,Need 2 quarters,N/A,Need 2 years,N/A,27.99,13.29,No,No harsh condition recovery
HOMEFIRST,8.25,"Dec 2024, Mar 2025",24.84,"Mar 2024, Mar 2025",2.22,32.24,No,No harsh condition recovery
XPROINDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.07,No,No harsh condition recovery
HERITGFOOD,Need 2 quarters,N/A,Need 2 years,N/A,1.35,8.99,No,No harsh condition recovery
GIPCL,N/A,N/A,Need 2 years,N/A,N/A,3.91,No,No harsh condition recovery
HIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker HIL
BPCL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MANAPPURAM,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,13.48,No,No harsh condition recovery
FUSION,-77.05,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,0.13,No,No harsh condition recovery
RAYMONDLSL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Need 2 years,No,No harsh condition recovery
FINPIPE,Need 2 quarters,N/A,Need 2 years,N/A,17.08,Not ascending,No,No harsh condition recovery
WABAG,Need 2 quarters,N/A,Need 2 years,N/A,42.54,15.34,No,No harsh condition recovery
POLICYBZR,Need 2 quarters,N/A,Need 2 years,N/A,16.72,44.76,No,No harsh condition recovery
UPL,Need 2 quarters,N/A,Need 2 years,N/A,42.78,8.21,No,No harsh condition recovery
NSIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,39.33,No,No harsh condition recovery
KPIL,Need 2 quarters,N/A,Need 2 years,N/A,23.29,13.71,No,No harsh condition recovery
SANGHIIND,Need 2 quarters,N/A,Need 2 years,N/A,29.34,18.03,No,No harsh condition recovery
PAYTM,Need 2 quarters,N/A,Need 2 years,N/A,4.6,Not ascending,No,No harsh condition recovery
APTUS,Need 2 quarters,N/A,Need 2 years,N/A,7.56,28.21,No,No harsh condition recovery
LALPATHLAB,Need 2 quarters,N/A,Need 2 years,N/A,1.01,10.51,No,No harsh condition recovery
JUBLINGREA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.02,No,No harsh condition recovery
JITFINFRA,Need 2 quarters,N/A,Need 2 years,N/A,10.64,Not ascending,No,No harsh condition recovery
GOKEX,Need 2 quarters,N/A,Need 2 years,N/A,2.73,62.42,No,No harsh condition recovery
CANTABIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,17.05,No,No harsh condition recovery
SAILIFE,Need 2 quarters,N/A,Need 2 years,N/A,31.82,15.7,No,No harsh condition recovery
BOSCHLTD,Need 2 quarters,N/A,Need 2 years,N/A,1.64,4.08,No,No harsh condition recovery
IGARASHI,N/A,N/A,Need 2 years,N/A,N/A,Need 2 years,No,No harsh condition recovery
NSLNISP,Need 2 quarters,N/A,Need 2 years,N/A,39.29,146.34,No,No harsh condition recovery
GRINDWELL,Need 2 quarters,N/A,Need 2 years,N/A,1.0,4.65,No,No harsh condition recovery
ASHOKA,Need 2 quarters,N/A,Need 2 years,N/A,12.81,2.44,No,No harsh condition recovery
INDIACEM,Need 2 quarters,N/A,Need 2 years,N/A,27.21,Not ascending,No,No harsh condition recovery
AMRUTANJAN,N/A,N/A,Need 2 years,N/A,N/A,12.03,No,No harsh condition recovery
ADANIENT,Need 2 quarters,N/A,Need 2 years,N/A,18.02,1.53,No,No harsh condition recovery
PNBGILTS,Need 2 quarters,N/A,Need 2 years,N/A,15.75,6.28,No,No harsh condition recovery
MHRIL,Need 2 quarters,N/A,Need 2 years,N/A,14.9,2.81,No,No harsh condition recovery
SONACOMS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.33,No,No harsh condition recovery
MARICO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,12.2,No,No harsh condition recovery
KCP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
INDUSINDBK,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,6.38,No,No harsh condition recovery
GENESYS,Need 2 quarters,N/A,Need 2 years,N/A,23.61,45.45,No,No harsh condition recovery
APOLLOTYRE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,2.94,No,No harsh condition recovery
INDIAMART,Need 2 quarters,N/A,Need 2 years,N/A,0.28,15.96,No,No harsh condition recovery
EPL,Need 2 quarters,N/A,Need 2 years,N/A,8.97,7.58,No,No harsh condition recovery
KPEL,Need 2 quarters,N/A,Need 2 years,N/A,89.15,99.36,No,No harsh condition recovery
TRIDENT,Need 2 quarters,N/A,Need 2 years,N/A,11.82,2.61,No,No harsh condition recovery
CLEAN,Need 2 quarters,N/A,Need 2 years,N/A,9.54,22.25,No,No harsh condition recovery
THEMISMED,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.28,No,No harsh condition recovery
VEDL,Need 2 quarters,N/A,Need 2 years,N/A,3.43,6.43,No,No harsh condition recovery
SWARAJENG,Need 2 quarters,N/A,Need 2 years,N/A,31.21,18.53,No,No harsh condition recovery
AADHARHFC,2.51,"Dec 2024, Mar 2025",21.6,"Mar 2024, Mar 2025",4.39,20.14,No,No harsh condition recovery
DHANUKA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.69,No,No harsh condition recovery
SKFINDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.66,No,No harsh condition recovery
VSTIND,N/A,N/A,Need 2 years,N/A,N/A,23.95,No,No harsh condition recovery
ELECON,Need 2 quarters,N/A,Need 2 years,N/A,50.85,14.97,No,No harsh condition recovery
KRBL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.88,No,No harsh condition recovery
SHARDAMOTR,Need 2 quarters,N/A,Need 2 years,N/A,8.7,1.0,No,No harsh condition recovery
RAIN,Need 2 quarters,N/A,Need 2 years,N/A,2.5,0.64,No,No harsh condition recovery
UNIPARTS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
CIGNITITEC,Need 2 quarters,N/A,Need 2 years,N/A,2.71,10.96,No,No harsh condition recovery
PGIL,Need 2 quarters,N/A,Need 2 years,N/A,20.14,31.14,No,No harsh condition recovery
GAIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.51,No,No harsh condition recovery
EPACK,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,44.58,No,No harsh condition recovery
REPCOHOME,7.08,"Dec 2024, Mar 2025",10.82,"Mar 2024, Mar 2025",Not ascending,10.27,No,No harsh condition recovery
TCPLPACK,Need 2 quarters,N/A,Need 2 years,N/A,3.67,13.43,No,No harsh condition recovery
INDIAGLYCO,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,14.39,No,No harsh condition recovery
GUJGASLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.08,No,No harsh condition recovery
IDFC,Need 2 quarters,N/A,Need 2 years,N/A,20.0,Not ascending,No,No harsh condition recovery
ASAHIINDIA,Need 2 quarters,N/A,Need 2 years,N/A,4.98,5.83,No,No harsh condition recovery
APOLLOHOSP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.95,No,No harsh condition recovery
AIIL,Need 2 quarters,N/A,Need 2 years,N/A,135.33,76.96,No,No harsh condition recovery
PTCIL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.78,No,No harsh condition recovery
ROLEXRINGS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
ROUTE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,13.75,No,No harsh condition recovery
IOB,24.8,"Dec 2024, Mar 2025",27.38,"Mar 2024, Mar 2025",7.29,16.95,No,No harsh condition recovery
JBMA,Need 2 quarters,N/A,Need 2 years,N/A,17.91,9.24,No,No harsh condition recovery
LLOYDSENT,Need 2 quarters,N/A,Need 2 years,N/A,68.62,55.32,No,No harsh condition recovery
JSLL,N/A,N/A,Need 2 years,N/A,N/A,Need 2 years,No,No harsh condition recovery
ETHOSLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,25.33,No,No harsh condition recovery
GLOBUSSPR,Need 2 quarters,N/A,Need 2 years,N/A,8.76,5.1,No,No harsh condition recovery
JNKINDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.67,No,No harsh condition recovery
CENTRALBK,14.49,"Dec 2024, Mar 2025",47.29,"Mar 2024, Mar 2025",1.3,9.56,No,No harsh condition recovery
RAMKY,Need 2 quarters,N/A,Need 2 years,N/A,6.49,Not ascending,No,No harsh condition recovery
OBEROIRLTY,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,17.57,No,No harsh condition recovery
VIJAYA,Need 2 quarters,N/A,Need 2 years,N/A,2.37,24.27,No,No harsh condition recovery
INDRAMEDCO,Need 2 quarters,N/A,Need 2 years,N/A,2.77,8.92,No,No harsh condition recovery
MANINDS,Need 2 quarters,N/A,Need 2 years,N/A,66.39,11.55,No,No harsh condition recovery
IFGLEXPOR,Need 2 quarters,N/A,Need 2 years,N/A,18.4,0.85,No,No harsh condition recovery
MUTHOOTFIN,3.74,"Dec 2024, Mar 2025",19.79,"Mar 2024, Mar 2025",8.32,34.21,No,No harsh condition recovery
ESCORTS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.75,No,No harsh condition recovery
GOKULAGRO,Need 2 quarters,N/A,Need 2 years,N/A,9.5,41.12,No,No harsh condition recovery
E2E,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,74.47,No,No harsh condition recovery
NESTLEIND,Need 2 quarters,N/A,Need 2 years,N/A,15.15,Need 2 years,No,No harsh condition recovery
ICICIPRULI,Need 2 quarters,N/A,Need 2 years,N/A,245.83,Not ascending,No,No harsh condition recovery
OFSS,Need 2 quarters,N/A,Need 2 years,N/A,0.06,7.44,No,No harsh condition recovery
PPLPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,24.95,11.99,No,No harsh condition recovery
TVSMOTOR,Need 2 quarters,N/A,Need 2 years,N/A,4.59,12.63,No,No harsh condition recovery
DRREDDY,Need 2 quarters,N/A,Need 2 years,N/A,1.75,16.54,No,No harsh condition recovery
RENUKA,Need 2 quarters,N/A,Need 2 years,N/A,3.38,Not ascending,No,No harsh condition recovery
DREAMFOLKS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,13.83,No,No harsh condition recovery
AAVAS,21.37,"Dec 2023, Mar 2024",14.19,"Mar 2023, Mar 2024",7.48,25.42,No,No harsh condition recovery
ALICON,Need 2 quarters,N/A,Need 2 years,N/A,8.27,10.33,No,No harsh condition recovery
HGINFRA,Need 2 quarters,N/A,Need 2 years,N/A,7.59,Not ascending,No,No harsh condition recovery
SMSPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.01,No,No harsh condition recovery
KSCL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,5.15,No,No harsh condition recovery
NEULANDLAB,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
AWFIS,Need 2 quarters,N/A,Need 2 years,N/A,8.9,29.56,No,No harsh condition recovery
JKCEMENT,Need 2 quarters,N/A,Need 2 years,N/A,22.22,2.8,No,No harsh condition recovery
LAURUSLABS,Need 2 quarters,N/A,Need 2 years,N/A,21.55,10.18,No,No harsh condition recovery
TIIL,Need 2 quarters,N/A,Need 2 years,N/A,2.38,13.93,No,No harsh condition recovery
POWERMECH,Need 2 quarters,N/A,Need 2 years,N/A,38.49,24.41,No,No harsh condition recovery
RAINBOW,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,16.89,No,No harsh condition recovery
MOTISONS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.79,No,No harsh condition recovery
HBLENGINE,Need 2 quarters,N/A,Need 2 years,N/A,5.54,Not ascending,No,No harsh condition recovery
SUNDARMFIN,4.36,"Sep 2024, Dec 2024",Not ascending,"Mar 2024, TTM",5.04,15.23,No,No harsh condition recovery
FORCEMOT,Need 2 quarters,N/A,Need 2 years,N/A,24.72,15.45,No,No harsh condition recovery
EICHERMOT,Need 2 quarters,N/A,Need 2 years,N/A,5.39,14.11,No,No harsh condition recovery
CELLO,Need 2 quarters,N/A,Need 2 years,N/A,5.75,6.8,No,No harsh condition recovery
GMMPFAUDLR,Need 2 quarters,N/A,Need 2 years,N/A,0.75,Not ascending,No,No harsh condition recovery
GUFICBIO,Need 2 quarters,N/A,Need 2 years,N/A,1.96,Need 2 years,No,No harsh condition recovery
DOLLAR,Need 2 quarters,N/A,Need 2 years,N/A,44.09,8.78,No,No harsh condition recovery
FACT,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MARUTI,Need 2 quarters,N/A,Need 2 years,N/A,5.56,7.79,No,No harsh condition recovery
WONDERLA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
IRCON,Need 2 quarters,N/A,Need 2 years,N/A,30.58,Not ascending,No,No harsh condition recovery
UCOBANK,4.06,"Dec 2024, Mar 2025",47.61,"Mar 2024, Mar 2025",8.44,14.7,No,No harsh condition recovery
ALKEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,0.7,No,No harsh condition recovery
ITDCEM,Need 2 quarters,N/A,Need 2 years,N/A,10.47,17.87,No,No harsh condition recovery
CYIENTDLM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,27.52,No,No harsh condition recovery
PIDILITIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.11,No,No harsh condition recovery
KIRLPNU,Need 2 quarters,N/A,Need 2 years,N/A,72.59,222.2,No,No harsh condition recovery
PRECWIRE,Need 2 quarters,N/A,Need 2 years,N/A,10.52,Need 2 years,No,No harsh condition recovery
ACC,Need 2 quarters,N/A,Need 2 years,N/A,2.36,9.03,No,No harsh condition recovery
MSUMI,Need 2 quarters,N/A,Need 2 years,N/A,9.13,11.91,No,No harsh condition recovery
IIFL,206.1,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",6.06,Not ascending,No,No harsh condition recovery
ACCELYA,Need 2 quarters,N/A,Need 2 years,N/A,3.01,2.74,No,No harsh condition recovery
GHCL,Need 2 quarters,N/A,Need 2 years,N/A,0.26,Not ascending,No,No harsh condition recovery
TTML,Need 2 quarters,N/A,Need 2 years,N/A,3.16,8.01,No,No harsh condition recovery
SWSOLAR,Need 2 quarters,N/A,Need 2 years,N/A,37.13,107.64,No,No harsh condition recovery
LTFOODS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.7,No,No harsh condition recovery
GANECOS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,30.54,No,No harsh condition recovery
ORIENTHOT,Need 2 quarters,N/A,Need 2 years,N/A,9.02,11.96,No,No harsh condition recovery
LICI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.71,No,No harsh condition recovery
MANORAMA,Need 2 quarters,N/A,Need 2 years,N/A,11.48,Need 2 years,No,No harsh condition recovery
HINDUNILVR,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.98,No,No harsh condition recovery
SHRIPISTON,Need 2 quarters,N/A,Need 2 years,N/A,16.51,14.92,No,No harsh condition recovery
TDPOWERSYS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,27.77,No,No harsh condition recovery
LGBBROSLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.89,No,No harsh condition recovery
GOODLUCK,Need 2 quarters,N/A,Need 2 years,N/A,17.3,11.66,No,No harsh condition recovery
ARKADE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,7.56,No,No harsh condition recovery
YASHO,Need 2 quarters,N/A,Need 2 years,N/A,22.77,12.46,No,No harsh condition recovery
VIDHIING,Need 2 quarters,N/A,Need 2 years,N/A,11.11,26.07,No,No harsh condition recovery
UNIVCABLES,Need 2 quarters,N/A,Need 2 years,N/A,10.86,19.21,No,No harsh condition recovery
PIIND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.07,No,No harsh condition recovery
IDFCFIRSTB,Not ascending,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",0.75,20.37,No,No harsh condition recovery
PGHH,Need 2 quarters,N/A,Need 2 years,N/A,9.96,2.64,No,No harsh condition recovery
ACMESOLAR,Need 2 quarters,N/A,Need 2 years,N/A,39.54,6.52,No,No harsh condition recovery
ARVIND,Need 2 quarters,N/A,Need 2 years,N/A,6.32,7.64,No,No harsh condition recovery
SHARDACROP,Need 2 quarters,N/A,Need 2 years,N/A,96.88,36.58,No,No harsh condition recovery
VAIBHAVGBL,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,11.15,No,No harsh condition recovery
RRKABEL,Need 2 quarters,N/A,Need 2 years,N/A,24.47,15.51,No,No harsh condition recovery
HEIDELBERG,Need 2 quarters,N/A,Need 2 years,N/A,17.64,Not ascending,No,No harsh condition recovery
AXISCADES,Need 2 quarters,N/A,Need 2 years,N/A,3.77,6.7,No,No harsh condition recovery
JIOFIN,Need 2 quarters,N/A,Need 2 years,N/A,12.56,10.13,No,No harsh condition recovery
HCG,Need 2 quarters,N/A,Need 2 years,N/A,4.76,16.51,No,No harsh condition recovery
VESUVIUS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.5,No,No harsh condition recovery
SUMICHEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,10.51,No,No harsh condition recovery
INDIANB,2.47,"Dec 2024, Mar 2025",33.73,"Mar 2024, Mar 2025",0.57,11.48,No,No harsh condition recovery
MGL,Need 2 quarters,N/A,Need 2 years,N/A,6.33,15.48,No,No harsh condition recovery
SURAKSHA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.26,No,No harsh condition recovery
PARAS,Need 2 quarters,N/A,Need 2 years,N/A,25.58,43.7,No,No harsh condition recovery
DHANI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
EASEMYTRIP,Need 2 quarters,N/A,Need 2 years,N/A,4.14,3.55,No,No harsh condition recovery
BALKRISIND,Need 2 quarters,N/A,Need 2 years,N/A,7.5,11.51,No,No harsh condition recovery
GEPIL,Need 2 quarters,N/A,Need 2 years,N/A,46.08,Not ascending,No,No harsh condition recovery
SUDARSCHEM,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.7,No,No harsh condition recovery
ICICIGI,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,16.96,No,No harsh condition recovery
SWIGGY,Need 2 quarters,N/A,Need 2 years,N/A,10.44,35.39,No,No harsh condition recovery
METROBRAND,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.36,No,No harsh condition recovery
AURIONPRO,Need 2 quarters,N/A,Need 2 years,N/A,6.86,32.24,No,No harsh condition recovery
CIEINDIA,Need 2 quarters,N/A,Need 2 years,N/A,7.73,Not ascending,No,No harsh condition recovery
JTEKTINDIA,Need 2 quarters,N/A,Need 2 years,N/A,22.18,0.93,No,No harsh condition recovery
KALAMANDIR,N/A,N/A,Need 2 years,N/A,N/A,67.3,No,No harsh condition recovery
AETHER,Need 2 quarters,N/A,Need 2 years,N/A,9.09,40.3,No,No harsh condition recovery
STARHEALTH,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,14.83,No,No harsh condition recovery
AKZOINDIA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,3.26,No,No harsh condition recovery
GODFRYPHLP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,26.95,No,No harsh condition recovery
SIGNATURE,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,101.29,No,No harsh condition recovery
GPPL,Need 2 quarters,N/A,Need 2 years,N/A,15.86,Not ascending,No,No harsh condition recovery
VSTTILLERS,Need 2 quarters,N/A,Need 2 years,N/A,37.44,2.79,No,No harsh condition recovery
INDIGOPNTS,Need 2 quarters,N/A,Need 2 years,N/A,13.12,2.68,No,No harsh condition recovery
SANGAMIND,Need 2 quarters,N/A,Need 2 years,N/A,11.6,7.46,No,No harsh condition recovery
KRSNAA,Need 2 quarters,N/A,Need 2 years,N/A,6.29,15.65,No,No harsh condition recovery
PFC,7.71,"Dec 2024, Mar 2025",15.32,"Mar 2024, Mar 2025",9.21,16.15,No,No harsh condition recovery
PARACABLES,Need 2 quarters,N/A,Need 2 years,N/A,29.34,47.57,No,No harsh condition recovery
TATATECH,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.0,No,No harsh condition recovery
VTL,Need 2 quarters,N/A,Need 2 years,N/A,1.78,2.95,No,No harsh condition recovery
BALAMINES,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MUKANDLTD,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
INSECTICID,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,Not ascending,No,No harsh condition recovery
MOREPENLAB,Need 2 quarters,N/A,Need 2 years,N/A,2.87,7.22,No,No harsh condition recovery
SCHAEFFLER,Need 2 quarters,N/A,Need 2 years,N/A,1.78,3.67,No,No harsh condition recovery
KIMS,Need 2 quarters,N/A,Need 2 years,N/A,3.24,21.5,No,No harsh condition recovery
TITAGARH,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,1.61,No,No harsh condition recovery
RAJESHEXPO,Need 2 quarters,N/A,Need 2 years,N/A,44.39,12.36,No,No harsh condition recovery
NTPC,Need 2 quarters,N/A,Need 2 years,N/A,10.57,5.4,No,No harsh condition recovery
ABCAPITAL,Need 2 quarters,N/A,Need 2 years,N/A,30.2,17.57,No,No harsh condition recovery
CIPLA,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,6.88,No,No harsh condition recovery
INNOVACAP,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,15.08,No,No harsh condition recovery
ENGINERSIN,Need 2 quarters,N/A,Need 2 years,N/A,11.03,Not ascending,No,No harsh condition recovery
AUROPHARMA,Need 2 quarters,N/A,Need 2 years,N/A,2.35,6.62,No,No harsh condition recovery
CHENNPETRO,Need 2 quarters,N/A,Need 2 years,N/A,33.45,Not ascending,No,No harsh condition recovery
TVSSRICHAK,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,9.4,No,No harsh condition recovery
BAJAJELEC,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,4.07,No,No harsh condition recovery
SDBL,Need 2 quarters,N/A,Need 2 years,N/A,3.79,16.0,No,No harsh condition recovery
ADANIENSOL,Need 2 quarters,N/A,Need 2 years,N/A,9.35,43.11,No,No harsh condition recovery
NOCIL,Need 2 quarters,N/A,Need 2 years,N/A,6.92,Not ascending,No,No harsh condition recovery
CHALET,Need 2 quarters,N/A,Need 2 years,N/A,13.97,21.24,No,No harsh condition recovery
RBLBANK,85.11,"Dec 2024, Mar 2025",Not ascending,"Mar 2024, Mar 2025",Not ascending,13.29,No,No harsh condition recovery
IIFLCAPS,Need 2 quarters,N/A,Need 2 years,N/A,Not ascending,8.43,No,No harsh condition recovery
