Ticker,Company Type,QOQ Net Profit (Adjusted),QOQ Actual Income (Adjusted),QOQ Net Profit (Raw),QOQ Actual Income (Raw),QOQ Net Profit Ascending (Adjusted),QOQ Actual Income Ascending (Adjusted),QOQ Net Profit Ascending (Raw),QOQ Actual Income Ascending (Raw),Same Quarter Net Profit (Adjusted),Same Quarter Net Profit (Raw),YOY Net Profit (Adjusted),YOY Actual Income (Adjusted),YOY Net Profit (Raw),YOY Actual Income (Raw),YOY Net Profit Ascending (Adjusted),YOY Actual Income Ascending (Adjusted),YOY Net Profit Ascending (Raw),YOY Actual Income Ascending (Raw),Error
DIACABS,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
ASHAPURMIN,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
CHOLAFIN,Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,None
IFCI,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
VEEDOL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
GODREJPROP,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
BAJAJHFL,Finance,PASS,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
RAILTEL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
HOMEFIRST,Finance,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,N/A,N/A,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,None
XPROINDIA,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
HERITGFOOD,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
GIPCL,Non-Finance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
HIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No financial data tables with valid data found for ticker HIL
BPCL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
MANAPPURAM,Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,N/A,N/A,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
FUSION,Finance,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,N/A,N/A,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,None
RAYMONDLSL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None
FINPIPE,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
WABAG,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
POLICYBZR,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
UPL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
NSIL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
KPIL,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
SANGHIIND,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
PAYTM,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
APTUS,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,PASS,PASS,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,PASS,PASS,None
LALPATHLAB,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
JUBLINGREA,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
JITFINFRA,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
GOKEX,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
CANTABIL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
SAILIFE,Non-Finance,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
BOSCHLTD,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
IGARASHI,Non-Finance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,None
NSLNISP,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
GRINDWELL,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,None
ASHOKA,Non-Finance,N/A,N/A,FAIL,FAIL,N/A,N/A,FAIL,FAIL,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,FAIL,None
