Ticker,Company Type,Error,QOQ Revenue Growth (%),QOQ Revenue Ascending,YOY Revenue Growth (%),YOY Revenue Ascending,QOQ Profit before tax Growth (%),QOQ Profit before tax Ascending,YOY Profit before tax Growth (%),YOY Profit before tax Ascending,QOQ Net Profit Growth (%),QOQ Net Profit Ascending,YOY Net Profit Growth (%),YOY Net Profit Ascending,QOQ EPS in Rs Growth (%),QOQ EPS in Rs Ascending,YOY EPS in Rs Growth (%),YOY EPS in Rs Ascending
GMDCLTD,Non-Finance,None,0.99,FAIL,-6.92,FAIL,10.27,FAIL,-20.49,FAIL,12.63,FAIL,-18.79,FAIL,12.7,FAIL,-18.82,FAIL
SUZLON,Non-Finance,None,12.52,FAIL,25.86,PASS,26.61,FAIL,-1.5,FAIL,26.16,FAIL,-1.83,FAIL,25.77,FAIL,-2.52,FAIL
LICI,Non-Finance,None,-4.7,FAIL,6.26,PASS,2.75,FAIL,4.41,FAIL,-2.57,FAIL,9.43,PASS,-2.6,FAIL,9.46,PASS
GMRP&UI,Non-Finance,None,3.36,FAIL,11.35,FAIL,-120.92,FAIL,-950.09,FAIL,-123.41,FAIL,-716.6,FAIL,-121.7,FAIL,-684.19,FAIL
PRICOLLTD,Non-Finance,None,7.99,FAIL,17.23,PASS,-3.39,FAIL,24.29,PASS,-8.57,FAIL,15.62,PASS,-8.26,FAIL,15.76,PASS
SIEMENS,Non-Finance,None,-5.05,FAIL,-3.77,FAIL,1.35,FAIL,13.33,FAIL,4.14,FAIL,17.21,FAIL,4.17,FAIL,17.2,FAIL
DATAPATTNS,Non-Finance,None,84.84,FAIL,25.47,PASS,66.62,FAIL,34.28,PASS,64.75,FAIL,34.38,PASS,65.07,FAIL,34.3,PASS
BSE,Non-Finance,None,11.26,PASS,86.93,PASS,41.04,FAIL,155.73,PASS,39.98,FAIL,173.0,PASS,39.69,FAIL,161.68,PASS
SUNTV,Non-Finance,None,-1.22,FAIL,3.89,FAIL,-1.27,FAIL,1.27,FAIL,-1.09,FAIL,1.77,FAIL,-1.06,FAIL,1.76,FAIL
PTCIL,Non-Finance,None,3.84,FAIL,9.06,PASS,62.12,FAIL,39.6,PASS,51.9,FAIL,41.48,PASS,52.15,FAIL,35.02,PASS
SHAKTIPUMP,Non-Finance,None,5.49,PASS,62.57,PASS,6.02,PASS,343.19,PASS,5.78,PASS,339.5,PASS,5.99,PASS,313.24,PASS
SFL,Non-Finance,None,2.4,FAIL,9.56,PASS,-41.99,FAIL,-32.02,FAIL,15.35,FAIL,-27.87,FAIL,9.32,FAIL,-32.51,FAIL
BANCOINDIA,Non-Finance,None,6.55,FAIL,17.39,PASS,129.24,FAIL,31.91,PASS,140.18,FAIL,29.74,PASS,140.37,FAIL,29.77,PASS
PRAJIND,Non-Finance,None,7.36,PASS,-4.31,FAIL,-17.6,FAIL,-1.25,FAIL,-20.74,FAIL,-2.35,FAIL,-20.9,FAIL,-2.3,FAIL
INGERRAND,Non-Finance,None,8.48,PASS,7.47,PASS,9.09,FAIL,20.13,PASS,7.88,FAIL,20.12,PASS,7.7,FAIL,20.18,PASS
RSYSTEMS,Non-Finance,None,0.78,FAIL,2.44,PASS,6.75,PASS,3.21,FAIL,19.17,FAIL,0.98,FAIL,19.06,FAIL,1.07,FAIL
BLUESTARCO,Non-Finance,None,15.32,FAIL,22.49,PASS,11.24,FAIL,20.65,PASS,13.76,FAIL,23.0,PASS,13.62,FAIL,19.77,FAIL
ARVINDFASN,Non-Finance,None,8.88,FAIL,6.57,PASS,58.34,FAIL,34.11,PASS,-9.11,FAIL,-9.22,FAIL,553.53,FAIL,-12.25,FAIL
VENTIVE,Non-Finance,None,81.92,PASS,N/A,N/A,-127.55,FAIL,N/A,N/A,-14.35,FAIL,N/A,N/A,78.56,FAIL,N/A,N/A
NETWORK18,Non-Finance,None,-42.04,FAIL,11.74,FAIL,241.44,FAIL,1343.26,FAIL,233.69,FAIL,1189.01,FAIL,263.59,FAIL,300.79,FAIL
RAYMONDLSL,Non-Finance,None,9.29,FAIL,N/A,N/A,-118.5,FAIL,N/A,N/A,-133.51,FAIL,N/A,N/A,inf,FAIL,N/A,N/A
LLOYDSENT,Non-Finance,None,21.05,FAIL,103.71,PASS,34.52,FAIL,125.11,FAIL,32.92,FAIL,63.82,FAIL,58.3,FAIL,45.51,FAIL
AXISBANK,Finance,None,1.37,PASS,20.95,PASS,4.73,FAIL,46.65,PASS,5.64,FAIL,74.52,PASS,5.56,FAIL,74.55,PASS
JINDALSAW,Non-Finance,None,1.05,FAIL,8.34,FAIL,-5.67,FAIL,107.1,PASS,-22.27,FAIL,121.98,FAIL,-9.32,FAIL,82.02,PASS
PILANIINVS,Non-Finance,None,15.46,FAIL,5.28,PASS,31.14,FAIL,3.01,FAIL,19.83,FAIL,-19.57,FAIL,19.88,FAIL,-19.59,FAIL
CSBBANK,Finance,None,5.65,PASS,24.53,PASS,19.34,PASS,4.4,PASS,19.09,PASS,4.21,PASS,19.12,PASS,4.16,PASS
CESC,Non-Finance,None,-6.24,FAIL,9.26,PASS,0.33,FAIL,1.33,FAIL,2.75,FAIL,1.13,FAIL,3.01,FAIL,0.99,FAIL
SANOFICONR,Non-Finance,None,1.87,FAIL,N/A,N/A,22.01,PASS,N/A,N/A,22.2,FAIL,N/A,N/A,22.17,FAIL,N/A,N/A
TORNTPOWER,Non-Finance,None,-10.22,FAIL,6.54,PASS,-19.3,FAIL,5.44,FAIL,22.88,FAIL,24.46,FAIL,22.19,FAIL,21.03,FAIL
EMUDHRA,Non-Finance,None,19.2,FAIL,44.47,PASS,9.7,FAIL,21.23,PASS,10.44,PASS,19.53,PASS,10.66,FAIL,13.74,PASS
ADANIENT,Non-Finance,None,2.61,FAIL,-11.44,FAIL,250.29,FAIL,82.09,PASS,525.68,FAIL,88.86,PASS,2161.67,FAIL,73.97,PASS
VGUARD,Non-Finance,None,2.29,FAIL,16.27,PASS,2.23,FAIL,27.29,PASS,3.51,FAIL,29.11,PASS,3.33,FAIL,28.4,PASS
PPLPHARMA,Non-Finance,None,12.73,FAIL,13.69,PASS,-34.46,FAIL,-58.66,PASS,1180.52,FAIL,147.94,PASS,1186.31,FAIL,160.77,PASS
GRWRHITECH,Non-Finance,None,7.88,FAIL,21.19,PASS,3.4,FAIL,43.77,PASS,1.57,FAIL,42.67,PASS,1.43,FAIL,42.65,PASS
IRFC,Non-Finance,None,-0.2,FAIL,7.11,PASS,2.18,PASS,2.69,PASS,2.18,PASS,2.69,PASS,2.16,PASS,2.73,PASS
EQUITASBNK,Finance,None,3.08,PASS,23.43,PASS,88.15,FAIL,-21.52,FAIL,107.11,FAIL,-21.2,FAIL,112.96,FAIL,-22.62,FAIL
BANKBARODA,Finance,None,1.28,FAIL,16.67,PASS,3.4,FAIL,16.25,PASS,4.78,FAIL,18.16,PASS,4.87,FAIL,18.15,PASS
FDC,Non-Finance,None,2.98,FAIL,7.93,PASS,20.88,FAIL,23.34,FAIL,23.53,FAIL,23.53,FAIL,23.15,FAIL,25.06,FAIL
SHRIPISTON,Non-Finance,None,5.99,FAIL,16.66,PASS,10.05,FAIL,32.83,PASS,9.78,FAIL,33.43,PASS,8.8,FAIL,32.56,PASS
AAVAS,Finance,None,5.37,PASS,24.4,PASS,8.3,FAIL,17.51,PASS,9.39,FAIL,17.66,PASS,9.55,FAIL,17.43,PASS
CAPLIPOINT,Non-Finance,None,3.04,PASS,14.91,PASS,4.82,PASS,22.55,PASS,5.08,PASS,19.82,PASS,4.79,PASS,19.33,PASS
AWL,Non-Finance,None,8.92,PASS,6.16,FAIL,-8.38,FAIL,222.14,FAIL,-7.34,FAIL,326.9,FAIL,-7.47,FAIL,326.32,FAIL
ORIENTCEM,Non-Finance,None,8.22,FAIL,-3.27,FAIL,223.95,FAIL,-1.02,FAIL,208.47,FAIL,-2.86,FAIL,189.99,FAIL,-2.83,FAIL
HDFCLIFE,Non-Finance,None,2.11,FAIL,20.03,FAIL,-528.27,FAIL,-0.08,FAIL,0.14,FAIL,15.06,PASS,0.12,FAIL,14.9,PASS
DODLA,Non-Finance,None,0.24,FAIL,15.09,PASS,-0.96,FAIL,53.21,PASS,1.59,FAIL,46.29,PASS,1.12,FAIL,45.06,PASS
UNIONBANK,Finance,None,1.66,PASS,15.84,PASS,8.7,FAIL,42.99,PASS,12.05,FAIL,46.37,PASS,12.03,FAIL,37.93,PASS
SHARDAMOTR,Non-Finance,None,3.18,FAIL,2.52,PASS,3.04,FAIL,24.39,PASS,3.18,FAIL,24.62,PASS,3.19,FAIL,24.46,PASS
APOLLOTYRE,Non-Finance,None,0.65,FAIL,3.12,PASS,-11.07,FAIL,19.45,FAIL,-11.1,FAIL,14.86,FAIL,-11.14,FAIL,14.87,FAIL
ORIENTELEC,Non-Finance,None,5.57,FAIL,10.61,PASS,50.49,FAIL,5.39,FAIL,52.08,FAIL,4.68,FAIL,49.36,FAIL,4.82,FAIL
ORCHPHARMA,Non-Finance,None,0.38,FAIL,16.55,PASS,-9.73,FAIL,53.99,PASS,-13.75,FAIL,59.78,PASS,-13.94,FAIL,39.92,PASS
FORTIS,Non-Finance,None,2.67,FAIL,11.18,PASS,1.77,FAIL,11.39,PASS,5.51,FAIL,13.66,PASS,6.97,FAIL,15.52,PASS
KARURVYSYA,Finance,None,3.27,PASS,21.93,PASS,3.23,PASS,34.76,PASS,3.78,PASS,33.06,PASS,3.83,PASS,32.79,PASS
PRINCEPIPE,Non-Finance,None,6.82,FAIL,-3.49,FAIL,-162.06,FAIL,-13.97,FAIL,-164.44,FAIL,-12.98,FAIL,-165.94,FAIL,-13.01,FAIL
NUVAMA,Non-Finance,None,3.77,FAIL,33.72,PASS,12.8,FAIL,74.88,PASS,12.15,FAIL,75.34,PASS,11.64,FAIL,inf,PASS
KOTAKBANK,Finance,None,1.94,PASS,25.09,PASS,-12.17,FAIL,21.47,PASS,-11.38,FAIL,21.76,PASS,-11.39,FAIL,21.71,PASS
AMBUJACEM,Non-Finance,None,6.85,FAIL,-4.58,FAIL,56.33,FAIL,29.3,PASS,121.08,FAIL,32.77,PASS,93.55,FAIL,14.53,PASS
AKZOINDIA,Non-Finance,None,-0.32,FAIL,3.73,PASS,-3.05,FAIL,12.57,FAIL,-1.49,FAIL,14.08,PASS,-1.28,FAIL,13.99,PASS
SKFINDIA,Non-Finance,None,0.23,FAIL,6.91,PASS,20.95,FAIL,2.04,PASS,20.23,FAIL,3.84,PASS,20.39,FAIL,3.84,PASS
AMIORG,Non-Finance,None,20.96,PASS,28.33,PASS,69.25,PASS,68.31,FAIL,70.58,PASS,92.78,FAIL,75.35,PASS,92.44,FAIL
BAJAJHFL,Finance,None,4.38,PASS,30.09,PASS,4.69,PASS,27.65,PASS,6.84,PASS,31.28,PASS,4.17,PASS,19.37,PASS
SCHNEIDER,Non-Finance,None,23.22,PASS,19.24,PASS,65.74,PASS,59.68,PASS,539.35,PASS,32.44,PASS,488.45,PASS,32.54,PASS
WIPRO,Non-Finance,None,0.81,PASS,-0.78,FAIL,5.66,PASS,9.27,FAIL,5.72,PASS,8.36,FAIL,5.92,PASS,10.43,PASS
SANDUMA,Non-Finance,None,72.8,FAIL,23.93,FAIL,76.68,FAIL,43.45,FAIL,79.38,FAIL,44.1,FAIL,79.6,FAIL,43.93,FAIL
JUNIPER,Non-Finance,None,2.11,FAIL,17.07,PASS,86.52,PASS,-141.01,FAIL,-207.36,FAIL,-568.75,PASS,-210.81,FAIL,inf,PASS
IDBI,Finance,None,1.98,FAIL,18.89,PASS,5.71,FAIL,42.11,PASS,6.4,PASS,43.82,PASS,6.42,PASS,43.96,PASS
OBEROIRLTY,Non-Finance,None,-5.88,FAIL,12.4,PASS,-8.09,FAIL,15.14,PASS,-8.11,FAIL,8.34,PASS,-8.08,FAIL,8.34,PASS
INDUSINDBK,Finance,None,-4.97,FAIL,16.09,PASS,-98.86,FAIL,-24.98,FAIL,-99.83,FAIL,-25.36,FAIL,-99.81,FAIL,-25.55,FAIL
DABUR,Non-Finance,None,-4.81,FAIL,4.43,PASS,-10.61,FAIL,1.01,FAIL,-10.43,FAIL,1.27,FAIL,-10.21,FAIL,1.87,FAIL
GALLANTT,Non-Finance,None,-1.42,FAIL,2.88,PASS,28.84,FAIL,56.11,PASS,24.86,FAIL,68.9,PASS,24.85,FAIL,68.88,PASS
PAYTM,Non-Finance,None,8.41,PASS,-2.98,FAIL,-55.99,FAIL,-36.92,PASS,-57.02,FAIL,-36.65,PASS,-58.08,FAIL,-37.05,PASS
ALLCARGO,Non-Finance,None,6.83,FAIL,-4.26,FAIL,35.37,FAIL,-88.4,FAIL,214.33,FAIL,-74.99,FAIL,108.69,FAIL,-74.0,FAIL
LTIM,Non-Finance,None,2.25,PASS,7.02,PASS,0.56,FAIL,3.58,PASS,0.33,FAIL,2.17,PASS,0.35,FAIL,2.07,PASS
IEX,Non-Finance,None,4.88,FAIL,15.78,PASS,6.17,FAIL,18.58,PASS,6.97,FAIL,18.46,PASS,6.79,FAIL,18.48,PASS
MMTC,Non-Finance,None,19.2,FAIL,-49.96,FAIL,-36.25,FAIL,-52.09,FAIL,-32.85,FAIL,-53.75,FAIL,-33.83,FAIL,-53.62,FAIL
NAVINFLUOR,Non-Finance,None,10.5,FAIL,6.59,FAIL,23.7,PASS,-9.58,FAIL,23.72,PASS,-10.48,FAIL,23.55,PASS,-10.63,FAIL
KEI,Non-Finance,None,12.34,PASS,18.73,PASS,15.57,PASS,20.81,PASS,15.79,PASS,20.8,PASS,13.68,PASS,17.42,PASS
SAPPHIRE,Non-Finance,None,-0.12,FAIL,12.79,PASS,-207.67,FAIL,-51.16,FAIL,-188.11,FAIL,-72.5,FAIL,-230.27,FAIL,-70.64,FAIL
JIOFIN,Non-Finance,None,13.9,FAIL,N/A,N/A,15.69,FAIL,N/A,N/A,23.35,FAIL,N/A,N/A,23.9,FAIL,N/A,N/A
SBICARD,Finance,None,2.36,PASS,15.33,PASS,0.69,FAIL,-6.76,FAIL,0.75,FAIL,-6.89,FAIL,0.68,FAIL,-7.19,FAIL
PCJEWELLER,Non-Finance,None,262.63,PASS,44.17,FAIL,-34.51,PASS,174.24,FAIL,-76.81,FAIL,26.23,FAIL,-84.41,FAIL,27.11,FAIL
ADANIPOWER,Non-Finance,None,-1.39,FAIL,20.74,PASS,-12.4,FAIL,74.79,FAIL,-12.72,FAIL,27.69,FAIL,-12.25,FAIL,28.15,FAIL
ZOMATO,N/A,Quarterly CSV file not found for ZOMATO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BHARATFORG,Non-Finance,None,-1.69,FAIL,8.95,FAIL,13.55,FAIL,37.59,PASS,19.79,FAIL,39.73,PASS,12.54,FAIL,38.19,FAIL
NATCOPHARM,Non-Finance,None,-12.38,FAIL,27.34,PASS,-3.34,FAIL,64.69,PASS,-2.07,FAIL,64.21,PASS,-2.01,FAIL,66.09,PASS
BAJAJ-AUTO,Non-Finance,None,4.56,FAIL,17.15,PASS,4.38,FAIL,15.53,PASS,8.81,FAIL,12.47,FAIL,8.78,FAIL,13.32,FAIL
INFY,Non-Finance,None,1.38,FAIL,5.38,PASS,2.34,FAIL,6.25,PASS,3.36,PASS,5.39,PASS,3.35,PASS,5.29,PASS
REDTAPE,Non-Finance,None,13.6,FAIL,17.87,PASS,47.99,FAIL,11.16,FAIL,49.42,FAIL,10.27,FAIL,49.83,FAIL,10.02,FAIL
ANURAS,Non-Finance,None,25.54,PASS,-5.25,FAIL,78.39,PASS,-19.81,FAIL,83.06,PASS,-13.62,FAIL,149.62,PASS,-28.98,FAIL
POONAWALLA,Finance,None,6.1,PASS,63.1,FAIL,-48.5,FAIL,21.94,FAIL,-46.34,FAIL,19.94,FAIL,-43.93,FAIL,19.04,FAIL
BANDHANBNK,Finance,None,-0.62,FAIL,17.48,PASS,-37.35,FAIL,12.42,PASS,-30.58,FAIL,12.34,PASS,-30.65,FAIL,12.37,PASS
INOXINDIA,Non-Finance,None,7.66,PASS,16.28,PASS,8.26,PASS,20.26,PASS,8.2,FAIL,20.88,PASS,8.08,FAIL,20.98,PASS
GMRAIRPORT,Non-Finance,None,6.04,PASS,25.06,PASS,-104.91,FAIL,-6.33,PASS,-115.14,FAIL,-1.38,PASS,-122.4,FAIL,74.89,FAIL
ASAHIINDIA,Non-Finance,None,1.42,FAIL,6.92,PASS,6.55,FAIL,-2.76,FAIL,7.17,FAIL,1.35,FAIL,6.81,FAIL,1.53,FAIL
BOSCHLTD,Non-Finance,None,1.8,PASS,8.06,PASS,-1.21,FAIL,25.6,FAIL,-5.55,FAIL,28.01,FAIL,-5.59,FAIL,28.04,FAIL
HATSUN,Non-Finance,None,211.04,FAIL,304.57,PASS,434.74,FAIL,1444.32,PASS,307.91,FAIL,4402.25,PASS,inf,FAIL,inf,PASS
WELSPUNLIV,Non-Finance,None,-0.52,FAIL,13.9,PASS,-10.83,FAIL,108.91,FAIL,3.83,FAIL,113.46,FAIL,-1.46,FAIL,124.95,FAIL
JLHL,Non-Finance,None,4.6,FAIL,18.88,PASS,1.55,FAIL,41.74,PASS,0.79,FAIL,76.04,PASS,0.95,FAIL,59.11,PASS
GOCOLORS,N/A,Quarterly CSV file not found for GOCOLORS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BLUEDART,Non-Finance,None,4.58,PASS,4.33,PASS,4.95,FAIL,-14.12,FAIL,5.13,FAIL,-13.75,FAIL,5.08,FAIL,-13.7,FAIL
RTNPOWER,Non-Finance,None,2.78,FAIL,0.87,FAIL,816.31,FAIL,-338.77,FAIL,816.31,FAIL,-336.64,FAIL,-inf,FAIL,-336.84,FAIL
PFIZER,N/A,Quarterly CSV file not found for PFIZER,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEL,Finance,None,10.76,PASS,7.08,PASS,-16.01,FAIL,-137.62,FAIL,25.17,FAIL,-122.85,FAIL,26.32,FAIL,-123.34,FAIL
GMMPFAUDLR,Non-Finance,None,0.93,FAIL,0.63,FAIL,-25.0,FAIL,-34.13,FAIL,-13.61,FAIL,-44.49,FAIL,-10.77,FAIL,-30.49,FAIL
HINDALCO,Non-Finance,None,4.51,PASS,3.6,FAIL,11.31,FAIL,32.62,PASS,21.39,FAIL,29.08,PASS,21.38,FAIL,29.07,PASS
CCL,Non-Finance,None,2.82,FAIL,22.59,PASS,9.99,FAIL,9.01,FAIL,17.09,FAIL,6.01,FAIL,16.8,FAIL,5.9,FAIL
IDFC,Non-Finance,None,-108.87,FAIL,-39.94,FAIL,-4.95,FAIL,-47.26,FAIL,-5.27,FAIL,-46.23,FAIL,-5.3,FAIL,-46.19,FAIL
ADANIENSOL,Non-Finance,None,6.2,FAIL,34.02,PASS,-29.35,FAIL,-17.82,FAIL,-56.6,FAIL,-14.77,FAIL,-59.2,FAIL,-11.47,FAIL
MARUTI,Non-Finance,None,4.58,PASS,13.8,PASS,0.77,FAIL,39.77,PASS,2.53,FAIL,35.36,PASS,2.53,FAIL,32.16,PASS
VOLTAMP,Non-Finance,None,14.58,FAIL,18.18,PASS,9.17,FAIL,31.31,PASS,8.38,FAIL,29.68,PASS,8.06,FAIL,29.8,PASS
SHOPERSTOP,Non-Finance,None,1.71,FAIL,7.27,PASS,-156.69,FAIL,-63.93,FAIL,-153.08,FAIL,-59.67,FAIL,-153.29,FAIL,-59.74,FAIL
SHRIRAMFIN,Finance,None,6.09,PASS,17.15,PASS,7.06,FAIL,24.1,PASS,7.63,FAIL,26.16,PASS,7.83,FAIL,25.85,PASS
ACC,Non-Finance,None,6.77,FAIL,-0.55,FAIL,112.72,FAIL,71.34,PASS,123.44,FAIL,83.42,PASS,123.74,FAIL,83.4,PASS
NIACL,Non-Finance,None,3.91,FAIL,3.13,FAIL,98.96,FAIL,-7.6,FAIL,74.32,FAIL,-0.33,FAIL,77.55,FAIL,-0.32,FAIL
MASFIN,Finance,None,6.36,PASS,27.66,PASS,4.92,PASS,24.41,PASS,4.39,PASS,23.46,PASS,4.76,PASS,17.66,PASS
PTC,Non-Finance,None,3.25,FAIL,3.41,FAIL,27.72,FAIL,15.73,PASS,32.68,FAIL,18.32,PASS,29.16,FAIL,20.62,PASS
BAJFINANCE,Finance,None,4.68,PASS,29.76,PASS,2.43,FAIL,19.35,PASS,5.15,PASS,20.84,PASS,4.5,PASS,18.75,PASS
KSCL,Non-Finance,None,-34.74,FAIL,6.23,PASS,50.01,FAIL,2.38,FAIL,-651.23,FAIL,1.95,FAIL,-918.86,FAIL,6.85,FAIL
DBCORP,Non-Finance,None,-1.67,FAIL,5.1,FAIL,-13.37,FAIL,68.06,FAIL,-14.47,FAIL,69.58,FAIL,-14.17,FAIL,69.31,FAIL
BORORENEW,Non-Finance,None,0.31,FAIL,30.81,PASS,68.75,FAIL,-56.43,FAIL,41.21,FAIL,-48.21,FAIL,41.4,FAIL,-59.38,FAIL
BAJAJFINSV,Non-Finance,None,5.45,FAIL,27.86,PASS,0.22,FAIL,19.13,PASS,4.22,FAIL,20.16,PASS,4.29,FAIL,17.78,PASS
GODREJAGRO,Non-Finance,None,-2.9,FAIL,0.07,FAIL,-17.12,FAIL,21.13,PASS,-17.56,FAIL,16.98,PASS,-18.05,FAIL,19.28,PASS
CDSL,Non-Finance,None,-2.6,FAIL,39.78,PASS,-7.06,FAIL,38.66,PASS,-7.31,FAIL,38.71,PASS,-7.29,FAIL,38.79,PASS
AFFLE,Non-Finance,None,5.1,PASS,25.74,PASS,5.11,PASS,29.54,PASS,5.81,PASS,24.92,PASS,5.93,PASS,21.84,PASS
SAILIFE,Non-Finance,None,11.04,FAIL,18.04,PASS,22.85,FAIL,345.21,PASS,22.18,FAIL,417.41,PASS,inf,PASS,inf,PASS
BIRLACORPN,Non-Finance,None,9.82,FAIL,3.33,FAIL,101.43,FAIL,607.0,FAIL,109.76,FAIL,461.29,FAIL,107.25,FAIL,454.21,FAIL
BERGEPAINT,Non-Finance,None,-4.04,FAIL,4.53,PASS,-8.1,FAIL,17.35,PASS,-8.42,FAIL,18.58,PASS,-8.44,FAIL,18.48,PASS
ULTRACEMCO,Non-Finance,None,9.99,FAIL,9.62,PASS,32.38,FAIL,3.47,FAIL,31.82,FAIL,12.15,FAIL,31.0,FAIL,11.4,FAIL
GABRIEL,Non-Finance,None,4.33,FAIL,N/A,N/A,4.79,FAIL,N/A,N/A,3.51,FAIL,N/A,N/A,3.95,FAIL,N/A,N/A
MSUMI,Non-Finance,None,4.82,FAIL,14.87,PASS,4.19,FAIL,12.45,FAIL,3.99,FAIL,13.0,FAIL,3.25,FAIL,13.02,FAIL
IDFCFIRSTB,Finance,None,2.32,PASS,26.9,PASS,-5.84,FAIL,-17.94,FAIL,-6.53,FAIL,-15.48,FAIL,-6.0,FAIL,-20.01,FAIL
ITI,Non-Finance,None,27.93,FAIL,70.78,FAIL,-38.33,PASS,18.48,FAIL,-38.33,PASS,18.48,FAIL,-38.38,PASS,17.63,FAIL
MSTCLTD,Non-Finance,None,-16.16,FAIL,-19.89,FAIL,114.38,FAIL,38.29,PASS,122.57,FAIL,44.6,FAIL,121.24,FAIL,44.38,FAIL
SENCO,Non-Finance,None,23.51,PASS,22.89,PASS,48.86,FAIL,-5.13,FAIL,52.63,FAIL,-7.09,FAIL,48.63,FAIL,-23.76,FAIL
DBL,Non-Finance,None,0.98,FAIL,3.61,FAIL,69.68,FAIL,238.53,PASS,41.57,FAIL,-9941.04,PASS,31.38,FAIL,11123.48,PASS
JINDALSTEL,Non-Finance,None,-0.23,FAIL,-3.27,FAIL,-43.3,FAIL,-5.94,FAIL,-52.37,FAIL,-1.28,FAIL,-53.69,FAIL,17.24,FAIL
INOXWIND,Non-Finance,None,20.01,PASS,99.5,PASS,76.75,PASS,-477.03,PASS,46.53,PASS,-368.92,PASS,37.99,PASS,-477.79,PASS
CENTURYPLY,Non-Finance,None,2.94,FAIL,9.76,PASS,-3.11,FAIL,-22.39,FAIL,2.91,FAIL,-24.44,FAIL,1.85,FAIL,-24.08,FAIL
ASTRAMICRO,Non-Finance,None,39.51,PASS,13.51,PASS,139.94,PASS,46.96,PASS,133.49,PASS,50.06,PASS,131.13,PASS,42.51,PASS
LLOYDSME,Non-Finance,None,-17.57,FAIL,48.8,PASS,-23.14,FAIL,-262.07,PASS,-21.6,FAIL,-256.73,PASS,-22.24,FAIL,-258.71,PASS
NSLNISP,Non-Finance,None,8.04,FAIL,inf,PASS,-1.53,FAIL,-inf,FAIL,-0.1,FAIL,-inf,FAIL,N/A,PASS,N/A,PASS
STARCEMENT,Non-Finance,None,14.6,FAIL,8.14,PASS,652.67,FAIL,-17.56,FAIL,412.01,FAIL,-11.88,FAIL,420.56,FAIL,-11.83,FAIL
SYMPHONY,Non-Finance,None,12.6,FAIL,16.82,FAIL,-288.98,FAIL,36.89,PASS,-348.07,FAIL,35.75,PASS,-348.19,FAIL,36.45,PASS
PREMIERENE,Non-Finance,None,-0.35,FAIL,113.68,PASS,14.76,PASS,-1691.72,PASS,12.28,PASS,-785.65,PASS,3.25,FAIL,-877.52,PASS
THERMAX,Non-Finance,None,12.87,FAIL,13.34,PASS,38.94,FAIL,22.92,PASS,39.98,FAIL,20.04,FAIL,35.49,FAIL,20.81,FAIL
SAGILITY,Non-Finance,None,8.64,PASS,14.94,PASS,63.01,FAIL,122.08,PASS,167.21,FAIL,97.37,PASS,156.26,FAIL,43.82,FAIL
INDIGO,Non-Finance,None,5.73,FAIL,21.91,PASS,-161.85,FAIL,-1376.68,FAIL,-153.01,FAIL,-1390.89,FAIL,-153.01,FAIL,-1390.64,FAIL
CRISIL,Non-Finance,None,1.12,FAIL,3.06,PASS,5.23,FAIL,5.07,PASS,5.53,FAIL,3.58,PASS,5.46,FAIL,3.55,PASS
EUREKAFORB,Non-Finance,None,4.35,FAIL,8.16,PASS,20.9,FAIL,150.43,PASS,20.97,FAIL,170.03,PASS,21.17,FAIL,166.52,PASS
CHEMPLASTS,Non-Finance,None,0.69,FAIL,-4.91,FAIL,-96.78,FAIL,-128.31,FAIL,-53.63,FAIL,-117.16,FAIL,-54.69,FAIL,-117.14,FAIL
THANGAMAYL,Non-Finance,None,4.83,FAIL,24.92,PASS,-184.04,FAIL,24.87,FAIL,-182.53,FAIL,25.25,FAIL,-180.66,FAIL,25.22,FAIL
VEDL,Non-Finance,None,4.2,PASS,2.0,FAIL,5.34,FAIL,16.21,PASS,-0.42,FAIL,62.18,FAIL,-1.84,FAIL,88.15,FAIL
SUPREMEIND,Non-Finance,None,5.75,FAIL,6.6,PASS,5.39,FAIL,7.32,FAIL,7.79,FAIL,6.76,FAIL,7.76,FAIL,6.72,FAIL
LTFOODS,Non-Finance,None,2.55,FAIL,11.87,PASS,1.41,FAIL,22.45,PASS,1.49,FAIL,21.86,PASS,1.8,FAIL,24.66,PASS
BHARTIHEXA,Non-Finance,None,6.26,PASS,14.17,PASS,1.92,FAIL,60.87,PASS,10.66,FAIL,94.12,FAIL,10.72,FAIL,70.98,FAIL
BLACKBUCK,Non-Finance,None,12.11,PASS,-5.06,FAIL,-454.12,FAIL,-15.5,FAIL,-451.58,FAIL,-15.67,FAIL,-462.08,FAIL,-15.57,FAIL
BALRAMCHIN,Non-Finance,None,3.1,FAIL,8.34,FAIL,86.42,FAIL,28.8,FAIL,75.78,FAIL,34.93,FAIL,75.24,FAIL,34.85,FAIL
VBL,Non-Finance,None,-1.85,FAIL,15.48,PASS,54.97,FAIL,16.48,PASS,51.32,FAIL,16.15,PASS,56.4,FAIL,15.8,PASS
