Ticker,Company Type,Error,QOQ Revenue Growth (%),QOQ Revenue Ascending,YOY Revenue Growth (%),YOY Revenue Ascending,QOQ Profit before tax Growth (%),QOQ Profit before tax Ascending,YOY Profit before tax Growth (%),YOY Profit before tax Ascending,QOQ Net Profit Growth (%),QOQ Net Profit Ascending,YOY Net Profit Growth (%),YOY Net Profit Ascending,QOQ EPS in Rs Growth (%),QOQ EPS in Rs Ascending,YOY EPS in Rs Growth (%),YOY EPS in Rs Ascending
RPOWER,Non-Finance,None,0.13,FAIL,0.56,FAIL,-1426.47,FAIL,91.25,FAIL,-978.43,FAIL,85.3,FAIL,-990.65,FAIL,33.1,FAIL
CRAFTSMAN,Non-Finance,None,15.42,PASS,33.84,PASS,28.07,FAIL,-6.99,FAIL,113.81,FAIL,-3.05,FAIL,117.78,FAIL,-10.41,FAIL
ESABINDIA,N/A,Quarterly CSV file not found for ESABINDIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRSMJOHNSN,Non-Finance,None,6.36,FAIL,-0.29,FAIL,-19.29,FAIL,-147.44,FAIL,165.53,FAIL,-137.38,FAIL,366.81,FAIL,-165.72,FAIL
DHANUKA,Non-Finance,None,-0.08,FAIL,9.58,PASS,43.73,FAIL,14.08,PASS,41.87,FAIL,13.2,PASS,41.4,FAIL,13.3,PASS
IFBIND,Non-Finance,None,5.56,FAIL,7.52,PASS,74.0,FAIL,118.17,PASS,66.08,FAIL,178.67,PASS,65.17,FAIL,179.61,PASS
CERA,Non-Finance,None,14.39,FAIL,3.16,PASS,26.07,FAIL,4.71,FAIL,33.48,FAIL,8.77,PASS,32.93,FAIL,8.63,PASS
PNCINFRA,Non-Finance,None,-15.93,FAIL,-1.33,FAIL,-17.76,FAIL,28.23,PASS,-14.26,FAIL,31.56,PASS,-14.22,FAIL,31.49,PASS
POWERINDIA,Non-Finance,None,12.55,PASS,19.55,PASS,188.91,PASS,100.95,PASS,205.92,PASS,104.31,PASS,197.19,PASS,98.66,PASS
PGHH,Non-Finance,None,8.25,FAIL,4.99,PASS,43.35,FAIL,8.99,PASS,47.07,FAIL,2.82,FAIL,46.89,FAIL,2.8,FAIL
HCLTECH,Non-Finance,None,2.54,PASS,7.42,PASS,0.33,FAIL,9.27,PASS,0.57,FAIL,8.29,PASS,0.58,FAIL,8.27,PASS
VMART,Non-Finance,None,5.14,FAIL,14.91,PASS,-344.09,FAIL,383.08,FAIL,-291.64,FAIL,482.54,FAIL,-288.66,FAIL,492.62,FAIL
HEROMOTOCO,Non-Finance,None,-0.76,FAIL,9.46,PASS,3.59,PASS,24.16,PASS,4.25,PASS,25.29,PASS,3.55,PASS,25.04,PASS
SUNDRMFAST,Non-Finance,None,0.81,FAIL,2.58,PASS,-4.89,FAIL,4.01,PASS,-4.56,FAIL,4.12,PASS,-4.21,FAIL,4.41,PASS
EDELWEISS,Non-Finance,None,2.43,FAIL,3.7,FAIL,56.28,FAIL,48.52,PASS,25.42,PASS,15.78,PASS,28.54,FAIL,8.41,FAIL
FIRSTCRY,Non-Finance,None,9.48,FAIL,14.59,PASS,-34.85,FAIL,-43.85,PASS,-5.52,FAIL,-36.28,PASS,-inf,FAIL,N/A,PASS
MIDHANI,Non-Finance,None,-2.76,FAIL,11.34,FAIL,65.84,FAIL,-14.85,FAIL,99.73,FAIL,-15.62,FAIL,90.66,FAIL,-15.73,FAIL
CONCOR,Non-Finance,None,2.97,FAIL,4.31,PASS,6.85,FAIL,3.99,PASS,7.69,FAIL,4.94,PASS,7.75,FAIL,4.8,PASS
